Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,lifecycle:transition,description,defectType,phoneType,numberRepairs,defectFixed
1,Register,System,1970-01-02 12:23:00.000,1970-01-02 12:23:00.000,Variant 2,2,complete,Simulated process instance,,,,
1,Analyze Defect,Tester3,1970-01-02 12:23:00.000,1970-01-02 12:30:00.000,Variant 2,2,complete,Simulated process instance,6,T2,,
1,Repair (Complex),SolverC1,1970-01-02 12:31:00.000,1970-01-02 12:49:00.000,Variant 2,2,complete,Simulated process instance,,,,
1,Test Repair,Tester3,1970-01-02 12:49:00.000,1970-01-02 12:55:00.000,Variant 2,2,complete,Simulated process instance,,,0,true
1,Inform User,System,1970-01-02 13:10:00.000,1970-01-02 13:10:00.000,Variant 2,2,complete,Simulated process instance,,,,
1,Archive Repair,System,1970-01-02 13:10:00.000,1970-01-02 13:10:00.000,Variant 2,2,complete,Simulated process instance,,,0,true
10,Register,System,1970-01-01 11:09:00.000,1970-01-01 11:09:00.000,Variant 8,8,complete,Simulated process instance,,,,
10,Analyze Defect,Tester2,1970-01-01 11:09:00.000,1970-01-01 11:15:00.000,Variant 8,8,complete,Simulated process instance,3,T1,,
10,Repair (Simple),SolverS1,1970-01-01 11:35:00.000,1970-01-01 11:42:00.000,Variant 8,8,complete,Simulated process instance,,,,
10,Test Repair,Tester6,1970-01-01 11:42:00.000,1970-01-01 11:48:00.000,Variant 8,8,complete,Simulated process instance,,,1,false
10,Restart Repair,System,1970-01-01 11:54:00.000,1970-01-01 11:54:00.000,Variant 8,8,complete,Simulated process instance,,,,
10,Repair (Simple),SolverS2,1970-01-01 11:54:00.000,1970-01-01 12:03:00.000,Variant 8,8,complete,Simulated process instance,,,,
10,Inform User,System,1970-01-01 11:55:00.000,1970-01-01 11:55:00.000,Variant 8,8,complete,Simulated process instance,,,,
10,Test Repair,Tester4,1970-01-01 12:03:00.000,1970-01-01 12:09:00.000,Variant 8,8,complete,Simulated process instance,,,2,true
10,Archive Repair,System,1970-01-01 12:14:00.000,1970-01-01 12:14:00.000,Variant 8,8,complete,Simulated process instance,,,2,true
100,Register,System,1970-01-04 02:28:00.000,1970-01-04 02:28:00.000,Variant 2,2,complete,Simulated process instance,,,,
100,Analyze Defect,Tester4,1970-01-04 02:28:00.000,1970-01-04 02:36:00.000,Variant 2,2,complete,Simulated process instance,8,T2,,
100,Repair (Complex),SolverC1,1970-01-04 02:52:00.000,1970-01-04 03:09:00.000,Variant 2,2,complete,Simulated process instance,,,,
100,Test Repair,Tester1,1970-01-04 03:09:00.000,1970-01-04 03:18:00.000,Variant 2,2,complete,Simulated process instance,,,0,true
100,Inform User,System,1970-01-04 03:20:00.000,1970-01-04 03:20:00.000,Variant 2,2,complete,Simulated process instance,,,,
100,Archive Repair,System,1970-01-04 03:28:00.000,1970-01-04 03:28:00.000,Variant 2,2,complete,Simulated process instance,,,0,true
1000,Register,System,1970-01-22 06:23:00.000,1970-01-22 06:23:00.000,Variant 3,3,complete,Simulated process instance,,,,
1000,Analyze Defect,Tester6,1970-01-22 06:23:00.000,1970-01-22 06:28:00.000,Variant 3,3,complete,Simulated process instance,3,T3,,
1000,Repair (Simple),SolverS3,1970-01-22 06:35:00.000,1970-01-22 06:49:00.000,Variant 3,3,complete,Simulated process instance,,,,
1000,Test Repair,Tester6,1970-01-22 06:49:00.000,1970-01-22 06:58:00.000,Variant 3,3,complete,Simulated process instance,,,1,true
1000,Inform User,System,1970-01-22 07:03:00.000,1970-01-22 07:03:00.000,Variant 3,3,complete,Simulated process instance,,,,
1000,Archive Repair,System,1970-01-22 07:08:00.000,1970-01-22 07:08:00.000,Variant 3,3,complete,Simulated process instance,,,1,true
1001,Register,System,1970-01-22 07:51:00.000,1970-01-22 07:51:00.000,Variant 10,10,complete,Simulated process instance,,,,
1001,Analyze Defect,Tester3,1970-01-22 07:51:00.000,1970-01-22 07:56:00.000,Variant 10,10,complete,Simulated process instance,8,T1,,
1001,Repair (Complex),SolverC3,1970-01-22 08:06:00.000,1970-01-22 08:54:00.000,Variant 10,10,complete,Simulated process instance,,,,
1001,Inform User,System,1970-01-22 08:35:00.000,1970-01-22 08:35:00.000,Variant 10,10,complete,Simulated process instance,,,,
1001,Test Repair,Tester5,1970-01-22 08:54:00.000,1970-01-22 09:00:00.000,Variant 10,10,complete,Simulated process instance,,,0,true
1002,Register,System,1970-01-22 21:40:00.000,1970-01-22 21:40:00.000,Variant 21,21,complete,Simulated process instance,,,,
1002,Analyze Defect,Tester2,1970-01-22 21:40:00.000,1970-01-22 21:50:00.000,Variant 21,21,complete,Simulated process instance,3,T3,,
1002,Repair (Simple),SolverS3,1970-01-22 22:12:00.000,1970-01-22 22:32:00.000,Variant 21,21,complete,Simulated process instance,,,,
1002,Inform User,System,1970-01-22 22:26:00.000,1970-01-22 22:26:00.000,Variant 21,21,complete,Simulated process instance,,,,
1002,Test Repair,Tester4,1970-01-22 22:32:00.000,1970-01-22 22:40:00.000,Variant 21,21,complete,Simulated process instance,,,1,true
1003,Register,System,1970-01-22 06:43:00.000,1970-01-22 06:43:00.000,Variant 35,35,complete,Simulated process instance,,,,
